timestamp_ms,real_x,real_y,pred_x,pred_y
16263083,10.0625,69.5625,9.73438,73.6719
16263123,14.1875,58.375,11.0469,62.0156
16263164,15.9375,45.8125,17.2812,49.9844
16263204,20.0625,33.625,17.25,36.3906
16263244,30.4375,9.875,23.1562,24.4844
16263284,35.75,6.5625,38.2188,-7.9375
16263325,35.75,6.5625,38.4062,4.90625
16263365,45.625,7.75,35.75,6.5625
16263405,57.875,7.9375,53.0312,8.64062
16263445,63.9375,6.8125,67.0625,8.07812
16263486,77.5625,6.3125,68.4844,5.96875
16263526,84.75,6,87.7812,5.9375
16263566,99.9375,6.125,90.3203,5.75781
16263606,99.9375,6.125,111.328,6.21875
16263647,104.125,6.125,99.9375,6.125
16263687,105.625,7.5,107.266,6.125
16263727,107.875,19.3125,106.825,8.6
16263767,107.875,19.3125,109.056,25.5141
16263808,108,21.875,107.875,19.3125
16263848,107.625,42.25,108.094,23.7969
16263888,107.75,52.625,107.344,57.5312
16263928,108.938,64.3125,107.844,60.4062
16263968,105.625,89.3125,109.858,73.3703
16264008,106.188,102.938,103.058,108.688
16264048,99.6875,104,106.637,113.838
16264089,80.8125,104,94.8125,104.797
16264129,71.6875,104.188,66.6562,104
16264169,71.6875,104.188,67.125,104.281
16264210,71.6875,104.188,71.6875,104.188
16264250,55.6875,103.875,71.6875,104.188
16264290,32.25,103.875,43.6875,103.641
16264330,25.5625,103.875,14.6719,103.875
16264370,25.5625,103.875,20.5469,103.875
16264410,25.5625,103.875,25.5625,103.875
16264450,25.5625,103.875,25.5625,103.875
16264490,25.5625,103.875,25.5625,103.875
16264531,25.5625,103.875,25.5625,103.875
16264571,25.5625,103.875,25.5625,103.875
16264611,25.5625,103.875,25.5625,103.875
16264651,8.5,103.625,25.5625,103.875
16264691,8,98.5625,-5.15,103.425
16264731,8,97.125,7.7375,95.9047
16264772,13.25,103.75,8,96.0109
16264812,15.1875,103.188,17.3188,108.884
16264852,15.1875,103.188,16.6891,102.752
16264892,15.1875,103.188,15.1875,103.188
16264933,19.25,91.75,15.1875,103.188
16264973,28.5,61.875,22.2969,83.1719
16265013,42.1875,30.75,33.125,46.9375
16265054,42.1875,30.75,52.4531,7.40625
16265094,54.625,17.75,42.1875,30.75
